courier_price_id,courier_id,couried_zone_id,from_kg,to_kg,price,status,date_added,date_modify,is_delete
49972,4,39,415,415.99,68140.152,1,,,0
49973,4,39,416,416.99,68303.952,1,,,0
49974,4,39,417,417.99,68467.752,1,,,0
49975,4,39,418,418.99,68631.552,1,,,0
49976,4,39,419,419.99,68795.352,1,,,0
49977,4,39,420,420.99,68959.152,1,,,0
49978,4,39,421,421.99,69122.952,1,,,0
49979,4,39,422,422.99,69286.752,1,,,0
49980,4,39,423,423.99,69450.552,1,,,0
49981,4,39,424,424.99,69614.352,1,,,0
49982,4,39,425,425.99,69778.152,1,,,0
49983,4,39,426,426.99,69941.952,1,,,0
49984,4,39,427,427.99,70105.752,1,,,0
49985,4,39,428,428.99,70269.552,1,,,0
49986,4,39,429,429.99,70433.352,1,,,0
49987,4,39,430,430.99,70597.152,1,,,0
49988,4,39,431,431.99,70760.952,1,,,0
49989,4,39,432,432.99,70924.752,1,,,0
49990,4,39,433,433.99,71088.552,1,,,0
49991,4,39,434,434.99,71252.352,1,,,0
49992,4,39,435,435.99,71416.152,1,,,0
49993,4,39,436,436.99,71579.952,1,,,0
49994,4,39,437,437.99,71743.752,1,,,0
49995,4,39,438,438.99,71907.552,1,,,0
49996,4,39,439,439.99,72071.352,1,,,0
49997,4,39,440,440.99,72235.152,1,,,0
49998,4,39,441,441.99,72398.952,1,,,0
49999,4,39,442,442.99,72562.752,1,,,0
50000,4,39,443,443.99,72726.552,1,,,0
50001,4,39,444,444.99,72890.352,1,,,0
50002,4,39,445,445.99,73054.152,1,,,0
50003,4,39,446,446.99,73217.952,1,,,0
50004,4,39,447,447.99,73381.752,1,,,0
50005,4,39,448,448.99,73545.552,1,,,0
50006,4,39,449,449.99,73709.352,1,,,0
50007,4,39,450,450.99,73873.152,1,,,0
50008,4,39,451,451.99,74036.952,1,,,0
50009,4,39,452,452.99,74200.752,1,,,0
50010,4,39,453,453.99,74364.552,1,,,0
50011,4,39,454,454.99,74528.352,1,,,0
50012,4,39,455,455.99,74692.152,1,,,0
50013,4,39,456,456.99,74855.952,1,,,0
50014,4,39,457,457.99,75019.752,1,,,0
50015,4,39,458,458.99,75183.552,1,,,0
50016,4,39,459,459.99,75347.352,1,,,0
50017,4,39,460,460.99,75511.152,1,,,0
50018,4,39,461,461.99,75674.952,1,,,0
50019,4,39,462,462.99,75838.752,1,,,0
50020,4,39,463,463.99,76002.552,1,,,0
50021,4,39,464,464.99,76166.352,1,,,0
50022,4,39,465,465.99,76330.152,1,,,0
50023,4,39,466,466.99,76493.952,1,,,0
50024,4,39,467,467.99,76657.752,1,,,0
50025,4,39,468,468.99,76821.552,1,,,0
50026,4,39,469,469.99,76985.352,1,,,0
50027,4,39,470,470.99,77149.152,1,,,0
50028,4,39,471,471.99,77312.952,1,,,0
50029,4,39,472,472.99,77476.752,1,,,0
50030,4,39,473,473.99,77640.552,1,,,0
50031,4,39,474,474.99,77804.352,1,,,0
50032,4,39,475,475.99,77968.152,1,,,0
50033,4,39,476,476.99,78131.952,1,,,0
50034,4,39,477,477.99,78295.752,1,,,0
50035,4,39,478,478.99,78459.552,1,,,0
50036,4,39,479,479.99,78623.352,1,,,0
50037,4,39,480,480.99,78787.152,1,,,0
50038,4,39,481,481.99,78950.952,1,,,0
50039,4,39,482,482.99,79114.752,1,,,0
50040,4,39,483,483.99,79278.552,1,,,0
50041,4,39,484,484.99,79442.352,1,,,0
