courier_zone_price_id,courier_id courier_zone_id,,from_kg,to_kg,price,status,date_added,date_modify,is_delete
54884,4,44,372,372.99,81462.006,1,,,0
54885,4,44,373,373.99,81680.406,1,,,0
54886,4,44,374,374.99,81898.806,1,,,0
54887,4,44,375,375.99,82117.206,1,,,0
54888,4,44,376,376.99,82335.606,1,,,0
54889,4,44,377,377.99,82554.006,1,,,0
54890,4,44,378,378.99,82772.406,1,,,0
54891,4,44,379,379.99,82990.806,1,,,0
54892,4,44,380,380.99,83209.206,1,,,0
54893,4,44,381,381.99,83427.606,1,,,0
54894,4,44,382,382.99,83646.006,1,,,0
54895,4,44,383,383.99,83864.406,1,,,0
54896,4,44,384,384.99,84082.806,1,,,0
54897,4,44,385,385.99,84301.206,1,,,0
54898,4,44,386,386.99,84519.606,1,,,0
54899,4,44,387,387.99,84738.006,1,,,0
54900,4,44,388,388.99,84956.406,1,,,0
54901,4,44,389,389.99,85174.806,1,,,0
54902,4,44,390,390.99,85393.206,1,,,0
54903,4,44,391,391.99,85611.606,1,,,0
54904,4,44,392,392.99,85830.006,1,,,0
54905,4,44,393,393.99,86048.406,1,,,0
54906,4,44,394,394.99,86266.806,1,,,0
54907,4,44,395,395.99,86485.206,1,,,0
54908,4,44,396,396.99,86703.606,1,,,0
54909,4,44,397,397.99,86922.006,1,,,0
54910,4,44,398,398.99,87140.406,1,,,0
54911,4,44,399,399.99,87358.806,1,,,0
54912,4,44,400,400.99,87577.206,1,,,0
54913,4,44,401,401.99,87795.606,1,,,0
54914,4,44,402,402.99,88014.006,1,,,0
54915,4,44,403,403.99,88232.406,1,,,0
54916,4,44,404,404.99,88450.806,1,,,0
54917,4,44,405,405.99,88669.206,1,,,0
54918,4,44,406,406.99,88887.606,1,,,0
54919,4,44,407,407.99,89106.006,1,,,0
54920,4,44,408,408.99,89324.406,1,,,0
54921,4,44,409,409.99,89542.806,1,,,0
54922,4,44,410,410.99,89761.206,1,,,0
54923,4,44,411,411.99,89979.606,1,,,0
54924,4,44,412,412.99,90198.006,1,,,0
54925,4,44,413,413.99,90416.406,1,,,0
54926,4,44,414,414.99,90634.806,1,,,0
54927,4,44,415,415.99,90853.206,1,,,0
54928,4,44,416,416.99,91071.606,1,,,0
54929,4,44,417,417.99,91290.006,1,,,0
54930,4,44,418,418.99,91508.406,1,,,0
54931,4,44,419,419.99,91726.806,1,,,0
54932,4,44,420,420.99,91945.206,1,,,0
54933,4,44,421,421.99,92163.606,1,,,0
54934,4,44,422,422.99,92382.006,1,,,0
54935,4,44,423,423.99,92600.406,1,,,0
54936,4,44,424,424.99,92818.806,1,,,0
54937,4,44,425,425.99,93037.206,1,,,0
54938,4,44,426,426.99,93255.606,1,,,0
54939,4,44,427,427.99,93474.006,1,,,0
54940,4,44,428,428.99,93692.406,1,,,0
54941,4,44,429,429.99,93910.806,1,,,0
54942,4,44,430,430.99,94129.206,1,,,0
54943,4,44,431,431.99,94347.606,1,,,0
54944,4,44,432,432.99,94566.006,1,,,0
54945,4,44,433,433.99,94784.406,1,,,0
54946,4,44,434,434.99,95002.806,1,,,0
54947,4,44,435,435.99,95221.206,1,,,0
54948,4,44,436,436.99,95439.606,1,,,0
54949,4,44,437,437.99,95658.006,1,,,0
54950,4,44,438,438.99,95876.406,1,,,0
54951,4,44,439,439.99,96094.806,1,,,0
54952,4,44,440,440.99,96313.206,1,,,0
54953,4,44,441,441.99,96531.606,1,,,0
54954,4,44,442,442.99,96750.006,1,,,0
54955,4,44,443,443.99,96968.406,1,,,0
54956,4,44,444,444.99,97186.806,1,,,0
54957,4,44,445,445.99,97405.206,1,,,0
54958,4,44,446,446.99,97623.606,1,,,0
54959,4,44,447,447.99,97842.006,1,,,0
54960,4,44,448,448.99,98060.406,1,,,0
54961,4,44,449,449.99,98278.806,1,,,0
54962,4,44,450,450.99,98497.206,1,,,0
54963,4,44,451,451.99,98715.606,1,,,0
54964,4,44,452,452.99,98934.006,1,,,0
54965,4,44,453,453.99,99152.406,1,,,0
54966,4,44,454,454.99,99370.806,1,,,0
54967,4,44,455,455.99,99589.206,1,,,0
54968,4,44,456,456.99,99807.606,1,,,0
54969,4,44,457,457.99,100026.006,1,,,0
54970,4,44,458,458.99,100244.406,1,,,0
54971,4,44,459,459.99,100462.806,1,,,0
54972,4,44,460,460.99,100681.206,1,,,0
54973,4,44,461,461.99,100899.606,1,,,0
54974,4,44,462,462.99,101118.006,1,,,0
54975,4,44,463,463.99,101336.406,1,,,0
54976,4,44,464,464.99,101554.806,1,,,0
54977,4,44,465,465.99,101773.206,1,,,0
54978,4,44,466,466.99,101991.606,1,,,0
54979,4,44,467,467.99,102210.006,1,,,0
54980,4,44,468,468.99,102428.406,1,,,0
54981,4,44,469,469.99,102646.806,1,,,0
54982,4,44,470,470.99,102865.206,1,,,0
54983,4,44,471,471.99,103083.606,1,,,0
54984,4,44,472,472.99,103302.006,1,,,0
54985,4,44,473,473.99,103520.406,1,,,0
54986,4,44,474,474.99,103738.806,1,,,0
54987,4,44,475,475.99,103957.206,1,,,0
54988,4,44,476,476.99,104175.606,1,,,0
54989,4,44,477,477.99,104394.006,1,,,0
54990,4,44,478,478.99,104612.406,1,,,0
54991,4,44,479,479.99,104830.806,1,,,0
54992,4,44,480,480.99,105049.206,1,,,0
54993,4,44,481,481.99,105267.606,1,,,0
54994,4,44,482,482.99,105486.006,1,,,0
54995,4,44,483,483.99,105704.406,1,,,0
54996,4,44,484,484.99,105922.806,1,,,0
54997,4,44,485,485.99,106141.206,1,,,0
54998,4,44,486,486.99,106359.606,1,,,0
54999,4,44,487,487.99,106578.006,1,,,0
55000,4,44,488,488.99,106796.406,1,,,0
55001,4,44,489,489.99,107014.806,1,,,0
55002,4,44,490,490.99,107233.206,1,,,0
55003,4,44,491,491.99,107451.606,1,,,0
55004,4,44,492,492.99,107670.006,1,,,0
55005,4,44,493,493.99,107888.406,1,,,0
55006,4,44,494,494.99,108106.806,1,,,0
55007,4,44,495,495.99,108325.206,1,,,0
55008,4,44,496,496.99,108543.606,1,,,0
55009,4,44,497,497.99,108762.006,1,,,0
55010,4,44,498,498.99,108980.406,1,,,0
55011,4,44,499,499.99,109198.806,1,,,0
55012,4,44,500,500.99,109417.206,1,,,0
55013,4,44,501,501.99,109635.606,1,,,0
55014,4,44,502,502.99,109854.006,1,,,0
55015,4,44,503,503.99,110072.406,1,,,0
55016,4,44,504,504.99,110290.806,1,,,0
55017,4,44,505,505.99,110509.206,1,,,0
55018,4,44,506,506.99,110727.606,1,,,0
55019,4,44,507,507.99,110946.006,1,,,0
55020,4,44,508,508.99,111164.406,1,,,0
55021,4,44,509,509.99,111382.806,1,,,0
55022,4,44,510,510.99,111601.206,1,,,0
55023,4,44,511,511.99,111819.606,1,,,0
55024,4,44,512,512.99,112038.006,1,,,0
55025,4,44,513,513.99,112256.406,1,,,0
55026,4,44,514,514.99,112474.806,1,,,0
55027,4,44,515,515.99,112693.206,1,,,0
55028,4,44,516,516.99,112911.606,1,,,0
55029,4,44,517,517.99,113130.006,1,,,0
55030,4,44,518,518.99,113348.406,1,,,0
55031,4,44,519,519.99,113566.806,1,,,0
55032,4,44,520,520.99,113785.206,1,,,0
55033,4,44,521,521.99,114003.606,1,,,0
55034,4,44,522,522.99,114222.006,1,,,0
55035,4,44,523,523.99,114440.406,1,,,0
55036,4,44,524,524.99,114658.806,1,,,0
55037,4,44,525,525.99,114877.206,1,,,0
55038,4,44,526,526.99,115095.606,1,,,0
55039,4,44,527,527.99,115314.006,1,,,0
55040,4,44,528,528.99,115532.406,1,,,0
55041,4,44,529,529.99,115750.806,1,,,0
55042,4,44,530,530.99,115969.206,1,,,0
55043,4,44,531,531.99,116187.606,1,,,0
55044,4,44,532,532.99,116406.006,1,,,0
55045,4,44,533,533.99,116624.406,1,,,0
55046,4,44,534,534.99,116842.806,1,,,0
55047,4,44,535,535.99,117061.206,1,,,0
55048,4,44,536,536.99,117279.606,1,,,0
55049,4,44,537,537.99,117498.006,1,,,0
55050,4,44,538,538.99,117716.406,1,,,0
55051,4,44,539,539.99,117934.806,1,,,0
55052,4,44,540,540.99,118153.206,1,,,0
55053,4,44,541,541.99,118371.606,1,,,0
55054,4,44,542,542.99,118590.006,1,,,0
55055,4,44,543,543.99,118808.406,1,,,0
55056,4,44,544,544.99,119026.806,1,,,0
55057,4,44,545,545.99,119245.206,1,,,0
55058,4,44,546,546.99,119463.606,1,,,0
55059,4,44,547,547.99,119682.006,1,,,0
55060,4,44,548,548.99,119900.406,1,,,0
55061,4,44,549,549.99,120118.806,1,,,0
55062,4,44,550,550.99,120337.206,1,,,0
55063,4,44,551,551.99,120555.606,1,,,0
55064,4,44,552,552.99,120774.006,1,,,0
55065,4,44,553,553.99,120992.406,1,,,0
55066,4,44,554,554.99,121210.806,1,,,0
55067,4,44,555,555.99,121429.206,1,,,0
55068,4,44,556,556.99,121647.606,1,,,0
55069,4,44,557,557.99,121866.006,1,,,0
55070,4,44,558,558.99,122084.406,1,,,0
55071,4,44,559,559.99,122302.806,1,,,0
55072,4,44,560,560.99,122521.206,1,,,0
55073,4,44,561,561.99,122739.606,1,,,0
55074,4,44,562,562.99,122958.006,1,,,0
55075,4,44,563,563.99,123176.406,1,,,0
55076,4,44,564,564.99,123394.806,1,,,0
55077,4,44,565,565.99,123613.206,1,,,0
55078,4,44,566,566.99,123831.606,1,,,0
55079,4,44,567,567.99,124050.006,1,,,0
55080,4,44,568,568.99,124268.406,1,,,0
55081,4,44,569,569.99,124486.806,1,,,0
55082,4,44,570,570.99,124705.206,1,,,0
55083,4,44,571,571.99,124923.606,1,,,0
55084,4,44,572,572.99,125142.006,1,,,0
55085,4,44,573,573.99,125360.406,1,,,0
55086,4,44,574,574.99,125578.806,1,,,0
55087,4,44,575,575.99,125797.206,1,,,0
55088,4,44,576,576.99,126015.606,1,,,0
55089,4,44,577,577.99,126234.006,1,,,0
55090,4,44,578,578.99,126452.406,1,,,0
55091,4,44,579,579.99,126670.806,1,,,0
55092,4,44,580,580.99,126889.206,1,,,0
